course,lo,level,justification,complexity,cognitive_category,department
Algorithm Analysis and Design,CO-1: Demonstrate the ability to fully understand the analysis of various known algorithms,Understand,"The verb 'understand' directly indicates comprehension of the analysis of algorithms, fitting the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Computer Science & Engineering
Algorithm Analysis and Design,CO-2: Identify problems where various algorithm design paradigms can possibly be applied,Apply,"The verb 'identify' suggests using knowledge of algorithm design paradigms to recognize suitable problems, which aligns with the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Algorithm Analysis and Design,CO-3: Understand the notions of computational intractability and learn how to cope with hardness,Understand,"The verbs 'understand' and 'learn' both relate to grasping concepts, placing this LO firmly within the 'Understand' level.",2,Lower-Order Thinking,Computer Science & Engineering
Algorithm Analysis and Design,"CO-4: Understand the notion of approximation and randomized algorithms. If time permits, intro to quantum algorithms",Understand,"The verb 'understand' indicates a focus on comprehending the concepts of approximation and randomized algorithms, fitting the 'Understand' level.",2,Lower-Order Thinking,Computer Science & Engineering
Applied Ethics,CO1: Explain the philosophical nature of the basic concepts and principles of ethics,Understand,"The verb 'Explain' indicates a need to demonstrate comprehension of concepts and principles, moving beyond simple recall.",2,Lower-Order Thinking,Humanities & Social Sciences
Applied Ethics,"CO2: Analyze ethical arguments for logical validity, soundness, and informal fallacies",Analyze,"The verb 'Analyze' requires breaking down arguments into their components and assessing their structure, which aligns with the analysis level.",4,Higher-Order Thinking,Humanities & Social Sciences
Applied Ethics,CO3: Demonstrate the knowledge of conceptual challenges involved in normative inquiry in the ethical domain,Apply,"The verb 'Demonstrate' suggests applying knowledge to show understanding of the challenges, indicating a move beyond simply knowing the concepts.",3,Higher-Order Thinking,Humanities & Social Sciences
Applied Ethics,CO4: Develop skills to formulate fundamental nuances in ethical justification and explanations,Create,"The verb 'Develop' implies generating new skills and formulating nuanced arguments, which falls into the creation category.",6,Higher-Order Thinking,Humanities & Social Sciences
Applied Ethics,CO5: Identify the various kinds of normative elements that constitute ethical frameworks,Understand,"The verb 'Identify' suggests recognizing and classifying different elements, which aligns with the understanding level.",2,Lower-Order Thinking,Humanities & Social Sciences
Applied Ethics,CO6: Discuss the major tenets of normative ethical theories and their scope of application,Understand,"The verb 'Discuss' implies explaining and elaborating on the tenets and scope, indicating comprehension rather than simple recall.",2,Lower-Order Thinking,Humanities & Social Sciences
Automata Theory,"CO-1: Develop an understanding of the core concepts of Automata theory such as Deterministic Finite Automata, Non-deterministic Finite Automata, Regular Languages, Context Free Languages, Push down Automata, the basics of Turing Machines",Understand,"The verb 'Develop an understanding' implies interpreting and explaining concepts, which falls under the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Automata Theory,CO-2: Design grammar and automata for different languages,Apply,"The verb 'Design' indicates using knowledge to create something new, which aligns with the 'Apply' level of Bloom's Taxonomy.",3,Higher-Order Thinking,Other
Automata Theory,CO-3: Identify formal language classes and prove language membership properties,Analyze,"The verbs 'Identify' and 'prove' suggest breaking down information and demonstrating relationships, which are characteristics of the 'Analyze' level.",4,Higher-Order Thinking,Other
Automata Theory,CO-4: Describe the limitations of the different computational models,Understand,"The verb 'Describe' implies explaining and summarizing concepts, which falls under the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Basics of Ethics,CO1: Explain the philosophical nature of the basic concepts and principles of ethics,Understand,"The verb 'Explain' indicates a need to demonstrate comprehension of concepts and principles, moving beyond simple recall.",2,Lower-Order Thinking,Humanities & Social Sciences
Basics of Ethics,"CO2: Analyze ethical arguments for logical validity, soundness, and informal fallacies",Analyze,"The verb 'Analyze' requires breaking down arguments into their components and assessing their structure, which aligns with the analysis level.",4,Higher-Order Thinking,Humanities & Social Sciences
Basics of Ethics,CO3: Demonstrate the knowledge of conceptual challenges involved in normative inquiry in the ethical domain,Apply,"The verb 'Demonstrate' suggests applying knowledge to show understanding of the challenges, indicating a move beyond simply knowing about them.",3,Higher-Order Thinking,Humanities & Social Sciences
Basics of Ethics,CO4: Develop skills to formulate fundamental nuances in ethical justification and explanations,Create,"The verb 'Develop' implies generating new skills and formulating nuanced arguments, which falls into the creation category.",6,Higher-Order Thinking,Humanities & Social Sciences
Basics of Ethics,CO5: Identify the various kinds of normative elements that constitute ethical frameworks,Understand,"The verb 'Identify' suggests recognizing and classifying different elements, which aligns with the understanding level.",2,Lower-Order Thinking,Humanities & Social Sciences
Basics of Ethics,CO6: Discuss the major tenets of normative ethical theories and their scope of application,Understand,"The verb 'Discuss' implies explaining and elaborating on the tenets and scope, indicating comprehension rather than simple recall.",2,Lower-Order Thinking,Humanities & Social Sciences
Behavioral Research: Experimental Design,CO-1: To develop understanding of the basic framework of behavioral research process,Understand,"The verb 'develop understanding' implies grasping the meaning of the framework, which aligns with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Design & Innovation
Behavioral Research: Experimental Design,CO-2: To identify various sources of information for literature review for operationalization and data collection,Remember,"The verb 'identify' suggests recalling and recognizing different sources, which falls under the 'Remember' level.",1,Lower-Order Thinking,Design & Innovation
Behavioral Research: Experimental Design,CO-3: To develop an understanding of various experimental designs and analyses techniques and apply in their own final projects,Apply,"The verb 'apply' indicates using learned techniques in a new situation (final projects), which is characteristic of the 'Apply' level.",3,Higher-Order Thinking,Design & Innovation
Behavioral Research: Experimental Design,"CO-4: To operationalize a research question and design, deploy behavioral experiments and analyze the data collected thereof using appropriate statistical tests",Apply,"The verbs 'operationalize', 'design', 'deploy', and 'analyze' all involve using procedures and concepts in a practical context, aligning with the 'Apply' level.",3,Higher-Order Thinking,Design & Innovation
Behavioral Research: Experimental Design,CO-5: To develop an understanding and evaluate the ethical dimensions of conducting applied research,Evaluate,"The verb 'evaluate' directly corresponds to making judgments and assessing the ethical dimensions, which is the core of the 'Evaluate' level.",5,Higher-Order Thinking,Design & Innovation
Behavioral Research: Experimental Design,CO-6: Appreciate the components of scholarly writing and evaluate its quality. Create and develop their unique way of writing and presenting their work whilst balancing scientific standards to effective communication,Create,"The verbs 'create' and 'develop' indicate generating something new (a unique writing style), which is the highest level of Bloom's Taxonomy.",6,Higher-Order Thinking,Design & Innovation
Bioinformatics,CO-1: Use various web-based bioinformatic resources (databases and tools) judiciously,Apply,"The verb 'Use' indicates applying knowledge of bioinformatic resources to a practical task, and 'judiciously' implies selecting the appropriate resource for a given situation.",3,Higher-Order Thinking,Biology & Life Sciences
Bioinformatics,"CO-2: Understand and implement methods for various biological sequence analysis, viz., pattern search and sequence comparison (pairwise and multiple sequence alignments), and phylogenetic reconstruction, gene prediction",Apply,"The verb 'implement' signifies applying knowledge of sequence analysis methods to perform a task, building upon understanding the methods themselves.",3,Higher-Order Thinking,Biology & Life Sciences
Bioinformatics,CO-3: Familiarize with the probabilistic models in biological sequence analysis,Understand,"The verb 'Familiarize' suggests gaining a conceptual understanding of probabilistic models, rather than applying or analyzing them.",2,Lower-Order Thinking,Biology & Life Sciences
Bio-instrumentation and Devices,CO-1: Describe and explain the generation of action potentials in neurons and cardio- electrophysiology,Understand,"The verbs 'describe' and 'explain' indicate comprehension and interpretation of concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Biology & Life Sciences
Bio-instrumentation and Devices,"CO-2: They will be able to explain, and design system for picking up the electrophysiological signal and amplify it",Apply,"The verb 'design' implies using knowledge to create a system, which falls under the 'Apply' level of Bloom's Taxonomy.",3,Higher-Order Thinking,Biology & Life Sciences
Bio-instrumentation and Devices,CO-3: Design & analysis of circuit for processing electrophysiological system,Analyze,"The verb 'analysis' directly corresponds to the 'Analyze' level, involving breaking down and examining a circuit.",4,Higher-Order Thinking,Biology & Life Sciences
Bio-instrumentation and Devices,CO-4: Explain the basis of micro fabrication and micro fluidic based systems,Understand,"The verb 'explain' indicates comprehension and interpretation of the basis of these systems, aligning with the 'Understand' level.",2,Lower-Order Thinking,Biology & Life Sciences
Bio-instrumentation and Devices,CO-5: Understand the fundamental operation of diagnostic devices,Understand,"The verb 'understand' directly indicates comprehension of the operation of diagnostic devices, fitting the 'Understand' level.",2,Lower-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,CO-1: Review of physicochemical principles at the molecular level,Remember,"The verb 'Review' implies recalling previously learned information, aligning with the 'Remember' level of Bloom's Taxonomy.",1,Lower-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,CO-2: From molecules to biochemical systems appreciation of principles of kinetics and thermodynamics for understanding mechanisms of interactions and reactions of biomolecules,Understand,"The verb 'appreciation' suggests interpreting and explaining the principles of kinetics and thermodynamics, fitting the 'Understand' level.",2,Lower-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,CO-3: Appreciation of the experimental methods used for exploring structures of biomolecules,Understand,"The verb 'Appreciation' suggests understanding and interpreting the experimental methods, aligning with the 'Understand' level.",2,Lower-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,CO-3: Understanding of important structural concepts used for the analysis of protein and nucleic acid structures,Understand,"The verb 'Understanding' directly indicates comprehension and interpretation of structural concepts, aligning with the 'Understand' level.",2,Lower-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,"CO-4: Learning to use and understanding the principles of molecular modeling, docking and molecular dynamics simulations for inferring structures, functions and interactions from sequences",Apply,"The phrase 'Learning to use' implies applying knowledge of molecular modeling techniques to a new task, fitting the 'Apply' level.",3,Higher-Order Thinking,Biology & Life Sciences
Biomolecular Structure Interactions and Dynamics,CO-5: Familiarity with important structural and functional databases and their usefulness in biological contexts,Remember,"The term 'Familiarity' suggests recognizing and recalling information about databases, aligning with the 'Remember' level.",1,Lower-Order Thinking,Biology & Life Sciences
Blockchain and Web3 Development,CO-1: Demonstrate a familiarity with the knowledge of distributed ledger technology,Understand,"The verb 'demonstrate' in this context implies explaining or showing understanding of the concepts, rather than simply recalling them. 'Familiarity with knowledge' suggests comprehension.",2,Lower-Order Thinking,Other
Blockchain and Web3 Development,CO-2: Discuss different blockchain consensus mechanisms,Understand,"The verb 'discuss' indicates explaining and interpreting concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Blockchain and Web3 Development,CO-3: Discuss various building blocks in the Solidity programming language,Understand,"Similar to CO-2, 'discuss' implies explaining and interpreting the building blocks of Solidity, fitting the 'Understand' level.",2,Lower-Order Thinking,Other
Blockchain and Web3 Development,CO-4: Apply the knowledge of smart contracts development to build DApps,Apply,The verb 'apply' directly indicates using learned knowledge in a practical situation – building DApps – which is the core of the 'Apply' level.,3,Higher-Order Thinking,Other
Blockchain and Web3 Development,"CO-5: Experiment and assess security, scalability, and storage requirements of smart contracts",Analyze,"The verbs 'experiment' and 'assess' suggest breaking down the smart contracts into their components (security, scalability, storage) and evaluating their characteristics, aligning with the 'Analyze' level.",4,Higher-Order Thinking,Other
Business Fundamentals,CO1: Demonstrate a clear comprehension of basic concepts of management,Understand,"The verb 'demonstrate comprehension' implies explaining or interpreting concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Business Fundamentals,CO2: Exhibit ability to understand the different strategic initiatives adopted by a firm to provide more value to its customers,Understand,"The verb 'understand' focuses on interpreting and explaining strategic initiatives, fitting the 'Understand' level.",2,Lower-Order Thinking,Other
Business Fundamentals,CO3: Develop capabilities for demonstrating leadership in decision making in product management roles,Apply,"The verb 'demonstrating leadership' suggests using leadership skills in a practical context (decision making), aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Business Fundamentals,CO4: Develop capabilities to undertake appropriate decision-making to optimize cost in developing a product by appropriately managing resources,Apply,"The phrase 'undertake decision-making' implies using a process (decision-making) to solve a problem (cost optimization), aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Business Fundamentals,CO5: Develop overall capability required for product development and product marketing,Understand,"The verb 'develop capability' suggests gaining knowledge and understanding of the requirements for product development and marketing, aligning with the 'Understand' level.",2,Lower-Order Thinking,Other
Chemistry Topics for Engineers,CO-1: Demonstrate understanding of the chemical principles behind spectroscopy,Understand,"The verb 'demonstrate understanding' implies explaining and interpreting concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Chemistry
Chemistry Topics for Engineers,CO-2: Apply the various spectroscopies to solve for chemical identity of system under study,Apply,The verb 'apply' directly indicates using learned knowledge in a new situation – solving for chemical identity – which is characteristic of the 'Apply' level.,3,Higher-Order Thinking,Chemistry
Chemistry Topics for Engineers,CO-3: Provide students with a conceptual understanding of electronic properties in solid materials,Understand,"The phrase 'conceptual understanding' indicates explaining and interpreting ideas, which falls under the 'Understand' level.",2,Lower-Order Thinking,Chemistry
Chemistry Topics for Engineers,CO-4: Define terminology used in the fields of modern materials chemistry,Remember,"The verb 'define' requires recalling and recognizing terms, which is the core of the 'Remember' level.",1,Lower-Order Thinking,Chemistry
Chemistry Topics for Engineers,CO-5: Learn and identify various applications of modern materials and their future potential,Understand,"The verbs 'learn' and 'identify' suggest comprehending and recognizing applications, aligning with the 'Understand' level.",2,Lower-Order Thinking,Chemistry
Chemistry Topics for Engineers,CO-6: Learn the importance and various methods of green synthesis,Understand,"The verb 'learn' implies comprehending the importance and methods, which falls under the 'Understand' level.",2,Lower-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,"CO-1: Determine the rate law for a reaction, the overall order of reaction, the integrated rate laws, the rate constants of the reactions and temperature dependence, and the order of the reaction from concentration/time plots and apply the rate equations to determine the concentration of chemical species and order of the chemical reactions",Apply,"The verbs 'determine' and 'apply' indicate using knowledge in a practical way to solve problems and calculate values, fitting the Apply level.",3,Higher-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,"CO-2: Explain a reaction mechanism, identify the reaction intermediates and catalysts, determine the molecularity of each step, write the overall reaction, and explain how enzymes act as biological catalysts and why enzymatic reactions respond differently to temperature changes",Understand,"The LO focuses on explaining concepts like reaction mechanisms and enzyme behavior, which requires comprehension and interpretation, aligning with the Understand level.",2,Lower-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,"CO-3: Interpret a potential energy diagram and a reaction coordinate diagram, potential energy profiles and use them to determine the activation energy and potential energy changes for a reaction",Apply,"The verbs 'interpret' and 'determine' suggest using diagrams to extract information and calculate values, which falls under the Apply level.",3,Higher-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,"CO-4: Use Collision Theory to explain how reactions occur at the molecular level, the concept of activation energy and how the collision frequency, kinetic energy, temperature, and orientation of colliding reactant molecules affect the rate of a chemical reaction",Understand,"The LO centers around explaining the principles of Collision Theory and its impact on reaction rates, indicating a focus on comprehension and interpretation.",2,Lower-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,CO-5: Apply transition state theory to explain the roles of various physical factors that govern chemical reactivity,Apply,"The verb 'apply' indicates using transition state theory to understand and explain chemical reactivity, fitting the Apply level.",3,Higher-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,CO-6: Describe the physical principles that govern electron transfer reactions and explain Marcus theory,Understand,The verbs 'describe' and 'explain' indicate a need to comprehend and articulate the principles of electron transfer reactions and Marcus theory.,2,Lower-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,"CO-7: Solve problems on chemical kinetics and reaction dynamics of unimolecular, bimolecular, and complex reactions",Apply,"The verb 'solve' directly indicates the application of learned concepts to solve problems, aligning with the Apply level.",3,Higher-Order Thinking,Chemistry
Chemical Kinetics and Reaction Dynamics,CO-8: Relate experimental observations to theoretical aspects of chemical kinetics and identify applications of chemical kinetics in everyday life and industry,Analyze,"The verb 'relate' suggests connecting observations to theory, and 'identify' implies breaking down applications, fitting the Analyze level.",4,Higher-Order Thinking,Chemistry
Computational Linguistics 2,CO-1: Use computational methods to analyze language at semantic and pragmatic levels,Apply,"The verb 'Use' indicates applying computational methods, suggesting the learner will utilize learned techniques in a new context.",3,Higher-Order Thinking,Linguistics & NLP
Computational Linguistics 2,CO-2: Develop requisite skills for problem solving at discourse and conversation levels,Create,"The verb 'Develop' implies generating or creating new skills, which falls into the 'Create' level.",6,Higher-Order Thinking,Linguistics & NLP
Computational Linguistics 2,"CO-3: Develop computational resources and tools for handling text, contextual interpretation of text and representation of meaning in context",Create,"The verb 'Develop' indicates the creation of new resources and tools, aligning with the 'Create' level.",6,Higher-Order Thinking,Linguistics & NLP
Computational Linguistics 2,CO-4: Perform theoretical research in computational semantics and computational discourse analysis,Apply,"The verb 'Perform' suggests applying research methods and knowledge to a specific area, fitting the 'Apply' level.",3,Higher-Order Thinking,Linguistics & NLP
Computational Linguistics 2,CO-5: Apply CL/NLP techniques for real world applications by using real time dialog and discourse data,Apply,"The verb 'Apply' directly indicates the use of techniques in practical situations, aligning with the 'Apply' level.",3,Higher-Order Thinking,Linguistics & NLP
Computer Problem Solving,CO-1: Demonstrate an understanding of computer programming language concepts,Understand,"The verb 'demonstrate' in this context implies explaining or interpreting concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Computer Science & Engineering
Computer Problem Solving,"CO-2: Ability to design and develop C programs, implement the concept of pointers, declarations, initialization, operations on pointers and their usage, arrays, functions. Able to define data types and use them",Apply,"The verbs 'design', 'develop', and 'implement' indicate using knowledge in a practical way, which falls under the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Problem Solving,CO-3: Ability to define and manage data structures based on problem subject domain,Apply,"The verbs 'define' and 'manage' suggest using knowledge of data structures in a practical context, aligning with the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Problem Solving,CO-4: Ability to analyze the complexity of the solution offered,Analyze,"The verb 'analyze' directly corresponds to the 'Analyze' level, which involves breaking down information and identifying relationships.",4,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-1: Explain the syntax of programming language constructs and their semantics and describe a program structure and its execution model,Understand,"The verbs 'Explain' and 'describe' indicate comprehension and the ability to articulate concepts, aligning with the Understand level.",2,Lower-Order Thinking,Computer Science & Engineering
Computer Programming,"CO-2: Describe the steps in program editing, compilation and execution using tools such as Visual Studio Code, GCC compiler on a Linux/Windows/MAC operating system",Understand,"The verb 'Describe' suggests explaining and outlining the process, fitting the Understand level.",2,Lower-Order Thinking,Computer Science & Engineering
Computer Programming,CO-3: Choose appropriate primitive data types and design new composite data types to model the relevant data in a given computation problem and also discover the algorithmic logic required to solve well-defined computational problems,Apply,"The verbs 'Choose', 'design', and 'discover' imply using knowledge in a practical context to solve problems, aligning with the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-4: Compare and contrast the performance of different algorithmic approaches for simple computational problems with respect to time and memory,Analyze,"The verbs 'Compare' and 'contrast' require breaking down information and identifying relationships between different approaches, fitting the Analyze level.",4,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-5: Write programs involving basic dynamic data structures such as linked lists and use tools such as Valgrind to detect any memory leaks,Apply,"The verbs 'Write' and 'use' indicate applying knowledge to create programs and utilize tools, aligning with the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-6: Use debugging tools such as GDB proficiently to rapidly isolate and remove subtle/complex bugs in programs,Apply,"The verb 'Use' implies applying knowledge of debugging tools to solve problems, aligning with the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-7: Manage complex large projects using source code management tools such as GIT and build tools such as Make,Apply,"The verb 'Manage' implies using tools and techniques to organize and control projects, aligning with the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Computer Programming,CO-8: Assess and evaluate the solutions of their classmates through a peer review process,Evaluate,"The verbs 'Assess' and 'evaluate' directly indicate making judgments and critiquing work based on criteria, aligning with the Evaluate level.",5,Higher-Order Thinking,Computer Science & Engineering
Computing in Sciences-1,CO-1: Demonstrate understanding of basic concepts of molecular modelling,Understand,"The verb 'demonstrate understanding' implies explaining and interpreting concepts, which aligns with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Computing in Sciences-1,"CO-2: Demonstrate the familiarity in operating prepackaged software commonly used in molecular mechanics, quantum chemistry, and visualization of molecular systems",Apply,"The verb 'demonstrate' coupled with 'operating software' suggests using a procedure (operating the software) in a specific context, fitting the 'Apply' level.",3,Higher-Order Thinking,Other
Computing in Sciences-1,CO-3: Compute (a) simple thermodynamic properties using quantum chemistry software for small molecules (b) thermodynamic properties using molecular dynamics software,Apply,"The verb 'compute' indicates using a procedure (software) to solve a problem (calculating properties), aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Data Analytics-I,"CO-1: describe the concepts of data summarization, data warehousing, pattern mining, classification and clustering approaches",Understand,"The verb 'describe' indicates an ability to explain concepts and ideas, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Computer Science & Engineering
